C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_09_611.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_09_611.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_09_611.jpg, 0, 0, 0, 7.82947E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_09_716.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_09_716.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_09_716.jpg, 0, 0, 0, 7.794021E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_09_817.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_09_817.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_09_817.jpg, 0, 0, 0, 7.823139E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_09_925.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_09_925.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_09_925.jpg, 0, 0, 0, 7.879648E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_10_024.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_10_024.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_10_024.jpg, 0, 0, 0, 7.881551E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_10_124.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_10_124.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_10_124.jpg, 0, 0, 0, 7.807479E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_10_225.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_10_225.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_10_225.jpg, 0, 0, 0, 7.773706E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_10_326.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_10_326.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_10_326.jpg, 0, 0, 0, 7.836286E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_10_427.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_10_427.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_10_427.jpg, 0, 0, 0, 7.783194E-05
C:\Users\LENOVO\Downloads\Data\IMG\center_2020_08_20_10_00_10_528.jpg, C:\Users\LENOVO\Downloads\Data\IMG\left_2020_08_20_10_00_10_528.jpg, C:\Users\LENOVO\Downloads\Data\IMG\right_2020_08_20_10_00_10_528.jpg, 0, 0, 0, 7.982461E-05
